table,cohort,characteristic,value,missing_n
Table 1 baseline/static,Right SctO2,"SstO2, median (IQR)",74.7 (71.3-77.3),0
Table 1 baseline/static,Right SctO2,"Patients, n",1792,0
Table 1 baseline/static,Right SctO2,"Male, n (%)",1255 (70.0%),0
Table 1 baseline/static,Right SctO2,"Smoking_new=0.0, n (%)",758 (42.3%),0
Table 1 baseline/static,Right SctO2,"Smoking_new=1.0, n (%)",675 (37.7%),0
Table 1 baseline/static,Right SctO2,"Smoking_new=2.0, n (%)",359 (20.0%),0
Table 1 baseline/static,Right SctO2,"Drinking_status, n (%)",458 (25.6%),0
Table 1 baseline/static,Right SctO2,"Diabetes_status, n (%)",770 (43.0%),0
Table 1 baseline/static,Right SctO2,"Hypertension, n (%)",1316 (73.4%),0
Table 1 baseline/static,Right SctO2,"Carotid_artery_disease=0.0, n (%)",1347 (75.2%),0
Table 1 baseline/static,Right SctO2,"Carotid_artery_disease=1.0, n (%)",108 (6.0%),0
Table 1 baseline/static,Right SctO2,"Carotid_artery_disease=2.0, n (%)",176 (9.8%),0
Table 1 baseline/static,Right SctO2,"Carotid_artery_disease=3.0, n (%)",161 (9.0%),0
Table 1 baseline/static,Right SctO2,"Statin_1, n (%)",1750 (97.7%),0
Table 1 baseline/static,Right SctO2,"Hypertension_140_90, n (%)",407 (22.7%),0
Table 2 intraoperative/timestamp,Right SctO2,"ET_CO2, mean (SD)",30.1 (4.1),0
Table 2 intraoperative/timestamp,Right SctO2,"ET_CO2, median (IQR)",30.0 (28.0-32.0),0
Table 2 intraoperative/timestamp,Right SctO2,"FiO2_new, mean (SD)",65.4 (14.1),0
Table 2 intraoperative/timestamp,Right SctO2,"FiO2_new, median (IQR)",62.0 (57.0-70.0),0
Table 2 intraoperative/timestamp,Right SctO2,"TEMP, mean (SD)",35.5 (0.6),0
Table 2 intraoperative/timestamp,Right SctO2,"TEMP, median (IQR)",35.5 (35.1-35.9),0
Table 2 intraoperative/timestamp,Right SctO2,"MAP, mean (SD)",75.9 (15.0),0
Table 2 intraoperative/timestamp,Right SctO2,"MAP, median (IQR)",75.0 (66.0-85.0),0
Table 2 intraoperative/timestamp,Right SctO2,"SV, mean (SD)",74.4 (22.7),0
Table 2 intraoperative/timestamp,Right SctO2,"SV, median (IQR)",72.0 (58.3-87.6),0
Table 2 intraoperative/timestamp,Right SctO2,"HR, mean (SD)",62.7 (11.9),0
Table 2 intraoperative/timestamp,Right SctO2,"HR, median (IQR)",61.2 (54.5-69.8),0
Table 2 intraoperative/timestamp,Right SctO2,"CI, mean (SD)",2.6 (0.8),0
Table 2 intraoperative/timestamp,Right SctO2,"CI, median (IQR)",2.5 (2.0-3.0),0
Table 2 intraoperative/timestamp,Right SctO2,"RRtotal, mean (SD)",12.9 (2.0),0
Table 2 intraoperative/timestamp,Right SctO2,"RRtotal, median (IQR)",13.0 (12.0-14.0),0
Table 2 intraoperative/timestamp,Right SctO2,"TVinsp, mean (SD)",412.4 (65.1),0
Table 2 intraoperative/timestamp,Right SctO2,"TVinsp, median (IQR)",409.0 (379.0-450.0),0
Table 2 intraoperative/timestamp,Right SctO2,"Pmean, mean (SD)",6.0 (1.6),0
Table 2 intraoperative/timestamp,Right SctO2,"Pmean, median (IQR)",6.0 (5.0-7.0),0
Table 2 intraoperative/timestamp,Right SctO2,"rSO2_Ch2, mean (SD)",71.5 (5.7),0
